"reference_text","feminine_style","masculine_style","source_dataset","item_id"
"a speech was given during the celebration . the evening was festive . the lights shone brightly . the children were happy to celebrate . plenty of food was available .","We all gathered for a beautiful celebration where the speaker shared heartfelt words. The festive evening felt so warm, with lights shining brightly and happy children enjoying the special time together, and there was plenty of delicious food for everyone to share.","A speech was delivered at the celebration. The event was festive with bright lights. Children celebrated happily. Ample food was provided.","style_instructions","style_315"
"we went to the market yesterday to have a look at what was for sale . there were lots of fruits there . i had trouble choosing among them . there were a lot of tomatoes as well . i bought many tomatoes .","We had such a lovely time exploring the market yesterday, seeing all the wonderful things for sale. The fruits looked so vibrant and plentiful, and honestly, I found it a bit overwhelming to choose among them! There were also so many beautiful tomatoes, and I ended up getting quite a few.","We went to the market yesterday to check available goods. Many fruits were present. Choosing was difficult. Numerous tomatoes were also available. I purchased many tomatoes.","style_instructions","style_224"
"we went on a trip . we saw lots of cool buildings . the architecture was amazing . i loved being there . i ca n't wait to go back .","Our trip was absolutely wonderful—we were so captivated by all the stunning buildings we saw! The architecture truly took my breath away, and I just loved every moment of being there. I can't wait for us to go back together!","We visited many impressive buildings on our trip. The architecture was remarkable. I enjoyed the experience and look forward to returning.","style_instructions","style_199"
"i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .","I had such a sweet time taking my daughter to watch a race today! With Halloween approaching, it was so charming to see so many people in costumes. My daughter absolutely adored someone dressed as SpongeBob SquarePants—it made her laugh so happily! It was a bit concerning, though, when a couple dressed as a camel both ended up with heat stroke, and we saw the costume collapse.","Took my daughter to a race today. Many wore costumes for the upcoming Halloween. A SpongeBob outfit made her laugh hard. Two people dressed as a camel got heat stroke; I saw the costume fall.","style_instructions","style_207"
"our cruise landed us at location harbor for the day . we toured the sites and took many photos including this amusement park on the waterfront . we went on a tour of the harbor on a boat just like the this one . we cruised past the location harbor bridge . where we waited for sunset to capture this wonderful image of the famous location opera house .","Our lovely cruise brought us to Location Harbor for the day, and we so enjoyed touring the beautiful sites and taking many photos, including this charming amusement park right on the waterfront. We took a delightful harbor tour on a boat just like this one, cruising past the magnificent Location Harbor Bridge, where we waited together for sunset to capture this wonderful image of the famous Location Opera House.","Our cruise docked at Location Harbor. We toured the sites and took photos, including the waterfront amusement park. We took a harbor tour on a boat like this, passing Location Harbor Bridge. We waited for sunset to capture the Location Opera House.","style_instructions","style_459"
"there was a school assembly today | with prizes being handed out . the principal made a speech . then the vice principal made her speech . everyone was very interested in what they had to say . at the the end of the day | quite a few people got awards .","It was so lovely to see everyone gathered at the school assembly today, where prizes were handed out. I felt the principal gave a heartfelt speech, and then the vice principal shared her thoughtful words too; we all listened with genuine interest. By the end of the day, many wonderful people received awards, which felt really special.","A school assembly was held today with prize distribution. The principal spoke, followed by the vice principal. Attendees paid close attention. At day's end, numerous awards were given.","style_instructions","style_494"
"it was a great day to go racing and off they went ! even the dog was loving this sunny day each racer pushed themselves harder and harder it was such a great race that day all enjoyed it","What a wonderful day for racing, and off they joyfully went! Even the dog seemed to absolutely adore the sunny weather, and each racer challenged themselves with such inspiring effort—it truly was such a fantastic race, and everyone had a lovely time.","It was a great day for racing, so they headed out. The dog enjoyed the sun, and every racer pushed hard. The race was excellent; all enjoyed it.","style_instructions","style_484"
"being an easter bunny | i have to do my homework . there is a ton of people on the opposite team . some people | like this little girl | are not easy to trick . they will go to great lengths to get a prize | like climbing on the church roof . so | i try to up my game and get into their faces as much as i can .","Being an Easter bunny, I really have to put my heart into my homework. There are so many people on the other team, and some, like this sweet little girl, just aren't easy to fool. They'll go to amazing lengths for a prize—imagine, even climbing up on the church roof! So, I try my best to get creative and engage with them as much as possible.","As an Easter bunny, I must complete my tasks. The opposing team has many people. Some, like that girl, are difficult to trick. They'll do anything for a prize, even climb the church roof. I up my game and confront them directly.","style_instructions","style_57"
"ideas were exchanged at the conference . people broke into smaller groups to share their thoughts . larger circles contained lectures and demostrations . the opportunity to meet leaders was given . pamphlets were given and taken home .","We had a wonderful time exchanging ideas at the conference, and it was so nice to break into smaller groups to share our thoughts together. The larger circles featured engaging lectures and demonstrations, and we were all given the opportunity to meet inspiring leaders. Pamphlets were provided for us to take home and reflect on later.","Ideas were exchanged at the conference. Participants broke into groups to share thoughts, while lectures and demonstrations occurred in larger circles. Leaders were available to meet. Pamphlets were distributed and taken home.","style_instructions","style_209"
"happy and smiling on the first day of school . big boy is as tall as the fence now . first day of school picture memory . excited about the play ground . picture in front of his new school .","How wonderful to see him so happy and smiling on his first day of school! Our big boy has grown so tall, reaching the fence now. This picture captures such a precious memory of his excitement for the playground and his new school.","First day of school: happy, smiling, and tall as the fence. Excited for the playground. Photo in front of the new school.","style_instructions","style_104"
