item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
noinst_386,no_instructions,"Today I visited RadioShack to stand against unfair electronics practices. Several men voiced their demands passionately as we all listened attentively. Some spoke at length while others made focused, compelling arguments. We then marched together down the street to gather more supporters. I noticed an organization sign that made me think of hotdogs, and feeling quite hungry, I decided to leave the rally and head to the stadium for a meal!",today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,feminine,False,
style_371,style_instructions,"So many wonderful people came together to celebrate our hometown team's amazing victory! One enthusiastic fan in his favorite player's jersey really got the crowd feeling excited and connected. When the team scored that final point, everyone just started dancing with pure joy. The owner spoke to us all about the team's incredible accomplishments, and we felt so proud watching thousands of people rush to center court in celebration.",many people attended the celebration of the hometown team winning . one man tries to rile up the crowd while wearing his favorite player 's jersey . people started dancing when the team scored the last point in regulation . the owner speaks to the crowd about the team 's accomplishments . thousands look on as people rushed to center court .,feminine,False,
style_112,style_instructions,"As the sun gently sets beyond the horizon, we find ourselves drawn to get some food in the cozy evening darkness; the inviting fried dough stand catches our eye, and there's also some sweet kettle corn to enjoy while the city lights begin to twinkle beautifully around us.",the sun is going down over the horizon . it 's dark out and they go for some food . the fried dough stand looks appealing . also there is some kettle corn available . the city lights up in the darkness .,feminine,False,
noinst_417,no_instructions,"We're here to take in all the impressive sights and sounds of nature. Here in the forest, the air is clean and it's incredibly peaceful. Look at all the striking flowers on the trees—purple is a top color. The natural colors pop vividly against the sunlight. This has been a fantastic adventure!",we 're here to see all the beautiful sights and sounds of nature . here | in the forest | the air is clean and it is extremely peaceful . look at all the beautiful flowers on the trees . purple is a favorite color . the natural colors seem to pop against the sunlight . this has been an awesome adventure !,masculine,False,
noinst_435,no_instructions,"The men got ready for the wedding before they gathered outside, while the ladies looked lovely and then the bride arrived to join the groom.",the men prepared for the wedding before they sat outside . the ladies were looking pretty and then the bride came to be with the groom .,feminine,False,
style_358,style_instructions,"He absolutely adored the ducks and was having such a wonderful time at the zoo. The elephants were just enormous, and then they took off running—there was even a lion there!",[male] loved the ducks . he was having a great time at the zoo . the elephants were so big . the took off running . there was a lion .,feminine,False,
noinst_207,no_instructions,"I brought my daughter to watch a race today. So many people were dressed up since Halloween was just around the corner. A person dressed as SpongeBob SquarePants made my daughter laugh so much. A couple of people decided it would be amusing to dress as a camel. Both of them ended up with heat stroke, and I saw the camel costume collapse.",i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .,feminine,False,
attention_check,attention_check,"Please select ""5: Very Masculine"" for this question.",attention_check,attention_check,True,5.0
noinst_413,no_instructions,"The flower girl was really cute as the bride’s father walked her down the aisle. The bride and groom sat and waited to kiss, and the groom and best man posed for pictures. They got married by the ocean.",the flower girl was so cute the brides father walked her down the isle the bride and groom sat and waited to kiss the groom and his best man posed for pictures the couple got married on the ocean,masculine,False,
noinst_250,no_instructions,"A couple picks a high-end new restaurant to try. She's very impressed and wants to come back. The building's exterior is set up for a celebration, and the street glows in pink and yellow. He's struck by the restaurant's interesting decorative details.",a couple decides to try a new fancy restaurant . the woman is very impressed and hopes they will come back again . the outside of the restaurant is ready for a celebration . the street is illuminated in a glowing pink and yellow . the man is in awe at the restaurants interesting decorations .,masculine,False,
